Saved Date,Job Url,Job Title,Company Name
"11/7/23, 7:40 AM",http://www.linkedin.com/jobs/view/3729440894,Senior Manager - Data Science & Growth Analytics,Freshworks
"4/21/26, 9:57 PM",http://www.linkedin.com/jobs/view/4404511827,"Sr. Manager, Web Experience",Dandy
"6/16/25, 11:48 AM",http://www.linkedin.com/jobs/view/4247046066,"Manager, Marketplace - Consumer Growth Strategy & Operations",DoorDash
"3/12/26, 10:35 AM",http://www.linkedin.com/jobs/view/4292539298,Senior Product Manager - Core Seller Experience,StubHub
"11/18/23, 4:32 PM",http://www.linkedin.com/jobs/view/3766470744,Marketing Analyst,Cottonwood Financial
"4/6/26, 5:04 PM",http://www.linkedin.com/jobs/view/4397387093,Senior Manager-Digital Product Management - Digital Wallets Partner Integrations,American Express
"11/7/23, 7:46 AM",http://www.linkedin.com/jobs/view/3744003002,"Sr. Manager, Global Brand Analytics",Coach
"3/27/26, 5:35 AM",http://www.linkedin.com/jobs/view/4377894110,"Senior Product Manager, Rider Product & App Experience",Lyft
"11/7/23, 7:45 AM",http://www.linkedin.com/jobs/view/3753021265,Sr Business Analysis Manager - Incentives Modeling & Analytics,T-Mobile
"11/7/23, 7:40 AM",http://www.linkedin.com/jobs/view/3756157998,Sr. Operational Insights Manager,T-Mobile
"1/4/24, 11:52 AM",http://www.linkedin.com/jobs/view/3780585208,"Senior Manager, Data Analytics, Delivery Experience",Walmart
"4/6/26, 4:39 PM",http://www.linkedin.com/jobs/view/4365395485,"Senior Product Manager, Grocery and Retail",Uber
"11/7/23, 7:45 AM",http://www.linkedin.com/jobs/view/3730725350,TikTok Shop - User Growth Strategy & Operation Manager,TikTok
"11/28/23, 9:28 AM",http://www.linkedin.com/jobs/view/3774454586,Sr. Product Analyst - Strategic Analytics,HubSpot
"10/17/23, 9:30 PM",http://www.linkedin.com/jobs/view/3499488296,Product Manager (Multiple Levels),DoorDash
"11/28/23, 4:40 PM",http://www.linkedin.com/jobs/view/3774931757,Innovation & Strategy Specialist,Nestlé
"9/7/23, 3:38 PM",http://www.linkedin.com/jobs/view/3215584483,TikTok Shop - User Growth Product Manager,TikTok
"11/12/23, 8:36 AM",http://www.linkedin.com/jobs/view/3744443734,Growth Analytics Manager,GoodRx
"4/14/26, 9:28 AM",http://www.linkedin.com/jobs/view/4389300295,"Product Manager II, Google Sheets and AI",Google
"4/6/26, 4:52 PM",http://www.linkedin.com/jobs/view/4395255402,"Senior Product Manager, Onboarding",Flex
"9/7/23, 3:38 PM",http://www.linkedin.com/jobs/view/3463188221,"User Growth Operations Manager, TikTok Shop - Seattle",TikTok
"10/29/23, 3:03 AM",http://www.linkedin.com/jobs/view/3733709192,Product Analytics Lead,SurveyMonkey
"4/6/26, 5:05 PM",http://www.linkedin.com/jobs/view/4388232172,"Senior Product Manager, Growth",Rent The Runway
"2/15/24, 5:45 AM",http://www.linkedin.com/jobs/view/3831076155,"Senior Operations Manager, Merchant Growth",Uber
"11/28/23, 4:43 PM",http://www.linkedin.com/jobs/view/3774600952,"Lead, Website & Digital Optimization",Wellby Financial
"11/7/23, 8:02 AM",http://www.linkedin.com/jobs/view/3752312802,"Senior Manager, Strategic Ops & Business Analytics",American Express
"11/11/23, 8:39 AM",http://www.linkedin.com/jobs/view/3730749193,Senior Product Analytics Analyst - (Digital-eCommerce-Checkout),Whole Foods Market
"6/24/23, 8:23 PM",http://www.linkedin.com/jobs/view/3644854659,"Senior Manager II, Data Analytics (Product Analytics)",Walmart
"11/12/23, 8:36 AM",http://www.linkedin.com/jobs/view/3762377710,"Senior Manager, Advanced Analytics - Lifecycle Marketing",Walmart
"11/18/23, 4:32 PM",http://www.linkedin.com/jobs/view/3717927273,Website Operations Manager,TCP Software
"11/7/23, 7:43 AM",http://www.linkedin.com/jobs/view/3741899474,"Manager, Data Analytics",KPMG US
"11/11/23, 8:52 AM",http://www.linkedin.com/jobs/view/3715325157,"Senior Data Analyst, Product Growth Analytics (Fully Remote)",LTK
"3/12/26, 11:02 AM",http://www.linkedin.com/jobs/view/4384877138,"Senior Product Manager, Member Growth",Spring Health
